# Constructed from biom file
#OTU ID	SRR15093004	SRR15093005	SRR15093006	SRR15093007	SRR15093008	SRR15093009	SRR15093010	SRR15093011	SRR15093012	SRR15093013	SRR15093014
ORNARGDEG-PWY	0.0	0.0	18.023446458428122	1322.5841288741103	0.0	30.733476112519803	0.0	25.070211034188507	0.0	301.7160241048784	709.2822989286791
ORNDEG-PWY	0.0	0.0	359.3250477741616	3796.171705872526	0.0	721.3198132076225	0.0	121.39052454854426	0.0	7036.649771718834	2621.6580216647385
P101-PWY	2561.6846426612933	3104.5189381900204	936.8562280246841	333.8871343000375	649.9727426641424	869.9326315404503	546.7099984192556	1056.6296150064009	2069.806918489515	779.7225849866117	4903.515169119148
P105-PWY	35329.72908716345	29703.22681276235	31978.041945822475	28281.069592330394	22946.56632938384	27263.365985892608	25398.105034280212	36207.5263147404	30300.223293471325	25589.569814042745	66757.28284515024
P108-PWY	41598.27500478794	31509.605604693043	36043.126270400775	22754.29661984121	30071.66746400374	32281.81321284694	32451.08485188843	43248.90195860463	34987.048273666405	19491.68004986075	52944.61212173437
P122-PWY	6198.432882881015	5482.983909501562	5329.929192217022	6297.249654536062	3203.903160347735	4245.811021654518	4609.904853168746	5998.839444473533	4324.984263623552	4125.638173105606	14865.99894471188
P124-PWY	26641.08751544721	19445.578426619562	21518.811560055918	6984.542605128892	20527.488569763045	22007.7270075624	24215.864045701943	33278.70912110903	19940.411580595057	16372.480311482559	23644.73723735927
P125-PWY	67.09927588776938	357.15336204184905	160.39993900148949	1479.613001170316	8.632308953685706	192.8997483791407	79.07899788122674	21.676140795112957	116.56401349192066	2524.4320793282523	21696.499836379542
P161-PWY	6593.652085508422	6435.114369197052	4014.11462803664	4106.636278686111	2562.978227318298	2648.2469682119263	1585.068251787245	3077.6538852941994	4304.187574383085	6448.43288437792	30012.672310356895
P162-PWY	0.0	0.0	102.18362318929034	0.0	0.0	0.0	403.5614128881081	519.3580479128048	0.0	15.976858914631842	213.99138150344254
P163-PWY	1453.664111110213	1166.559167716045	1071.9699481331675	21.227989219950704	839.1241344967866	1258.6825622689933	1642.1891170220404	2123.6907375316273	904.5350979687742	493.5542254830421	142.39971077585022
P164-PWY	26453.611774718247	0.0	22411.78735699066	10989.32527068898	17684.493619880333	20083.4724281355	19983.76577148781	26820.238687307083	20679.606738459675	10876.244743464607	25721.045449764286
P184-PWY	516.8012875002433	295.7651482659454	708.5016067195331	2224.63978556861	9.780754563587408	332.55126706416536	61.63311522225812	191.94781719247868	144.94332723164842	500.9265381860141	23581.795883712282
P221-PWY	912.048818767815	646.428197776226	582.1522089889477	2888.39357414111	813.7140763096191	1782.7622770322578	1862.0744912889638	2768.4724868976887	685.8961374994358	6007.82813775475	7711.520620164536
P23-PWY	35746.56976888033	27056.04318367664	31211.00480348625	13790.796330371273	27961.66367454714	27903.53691282433	33618.262916283944	43707.252726726394	29488.906900686234	16430.772408241734	17217.31982756931
P241-PWY	246.92613448372987	63.36929507455941	98.1830745788593	13.729028969841426	1878.4155479937333	79.36863985970429	1124.0338826455115	1560.332663067825	92.014803192368	1374.140046839953	290.0738466556963
P261-PWY	931.268046771175	258.6015683898225	909.5128758780568	31.94230609209251	806.7122807378021	206.79118211373972	1030.3079331131335	2501.387508352705	347.36983859845975	2091.3248274903713	955.930087452955
P281-PWY	3846.757349523483	3588.306956886958	3927.460929517129	9199.064582562747	1715.903040517486	2961.9082102928096	1411.2950931466178	2834.9587636090478	3768.094417371044	3831.482045708134	9308.890870066762
P341-PWY	0.0	32.48071718684797	0.0	0.0	0.0	0.0	17.49505091503448	0.0	0.0	0.0	0.0
P381-PWY	1960.2108691036026	1351.3028689213265	2432.298473891577	543.6337226244428	1722.8712721735542	2112.5562491973224	1558.8026697276566	2530.3342686735587	1413.4568137149872	918.0889155606785	1400.2969726555414
P4-PWY	33262.10838060569	25417.712544880414	29358.34236356792	17297.573343774173	21838.367862677056	25627.71868000732	24726.825679844962	33677.16634438899	27861.36714716648	18578.931938924372	57671.95383390859
P42-PWY	39373.23954390762	27961.6655443647	38029.38900931086	12825.21013366884	32436.518305574926	32637.12672691722	43164.08017056611	46447.967913602704	36003.698294988084	16319.924358692	14891.649975434524
